# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Electrical  (Brown) 
"# Rows: 173, Cols: 16384"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material Supplied By,UNIT,Qty.,WBS,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
EL-05-0014,,,"""CROSS"" WELDING MOLD, CABLE TO CABLE, EASY CLEANING TYPE 70 mm2 - 70 mm2",,ea,,,,,,,,,,,,,,,,0
EL-05-0015,,,"POWDER FOR EXOTHERMIC WELD , 115 gr PACK SUITABLE FOR ABOVE MENTIONED ITEM",,ea,,,,,,,,,,,,,,,,0
EL-05-0016,,,"T CONNECTOR, 35 mm2 - 35 mm2",,ea,,,,,,,,,,,,,,,,0
EL-05-0017,,,"T CONNECTOR, 35 mm2 - 16 mm2",,ea,,,,,,,,,,,,,,,,0
EL-05-0018,,,"T CONNECTOR, 70 mm2 - 70 mm2",,ea,,,,,,,,,,,,,,,,0
EL-05-0019,,,"T CONNECTOR, 70 mm2 - 35 mm2",,ea,,,,,,,,,,,,,,,,0
EL-05-0020,,,"T CONNECTOR, 70 mm2 -16 mm2",,ea,,,,,,,,,,,,,,,,0
EL-05-0021,,Earth Bar,600mm long 50 x 6mm thick hard drawn tinned copper Earth Bar,Contractor,lm,,,,3.6,,,,,,,,,,,,174.603174603175
EL-05-0022,,,"AIR TERMINAL ,1000(L)mm*20(D)mm",,ea,,,,,,,,,,,,,,,,0
EL-05-0023,,,BRASS 4 WAY CLAMP,,ea,,,,,,,,,,,,,,,,0
EL-05-0024,,,"BRASS TAPE CLIP , SUITABLE FOR CONNECTING 30*2mm COPPER TAPE TO THE WALL",,ea,,,,,,,,,,,,,,,,0
EL-05-0025,,,"PLASTIC  PYRAMID HOLDFAST , TO HOLD AND SUPPORT TAPE CONDUCTOR ON THE ROOF",,ea,,,,,,,,,,,,,,,,0
EL-05-0026,,,"AIR TERMINAL  BASE,SUITABLE FOR INSTALLING AIR TERMINAL ROD ON THE ROOF AND CONNECTINGAIR TERMINAL TO TINNED COPPER TAPE SIZE 30*2",,ea,,,,,,,,,,,,,,,,0
EL-05-0027,,,FLEXIBLE COPPER BRAID CONDUCTOR 300mm (L) x 30mm (W) x 2 mm (T),,ea,,,,,,,,,,,,,,,,0
EL-05-0028,,,TINNED COPPER TAPE SIZE 30(w)*2(T)mm,,lm,,,,,,,,,,,,,,,,0
EL-05-0029,,,"cable lug with galvanized bolt , nut & washer 35 Sqmm",,ea,,,,,,,,,,,,,,,,0
EL-05-0030,,,"cable lug with galvanized bolt , nut & washer 70 Sqmm",,ea,,,,,,,,,,,,,,,,0
EL-05-0031,,,"cable lug with galvanized bolt , nut & washer 95 Sqmm",,ea,,,,,,,,,,,,,,,,0
EL-05-0032,,,"cable lug with galvanized bolt , nut & washer 240 Sqmm",,ea,,,,,,,,,,,,,,,,0
EL-05-0033,,,"2"" PVC conduit Schedule80",Subcontractor,lm,,,,50,,,,,,2.11640211640212,,,,,,15.6084656084656
EL-05-0034,,,"4"" PVC conduit Schedule80",Subcontractor,lm,,,,100,,,,,,4.23280423280423,,,,,,23.2804232804233
,,,,,,,,,,,,,,,,,,,,,0
EL-06,,,LIGHTING & SMALL POWER CABLES,,,,,,,,,,,,,,,,,,0
,,,"LV POWER CABLE 0.6/1KV, COPPER CONDUCTOR WITH PVC INSULATION 600/1000 V GRADE,  SINGLE WIRE ARMOURED, WITH PVC OVERALL JACKET",,,,,,,,,,,,,,,,,,0
EL-06-0001,,LV POWER CABLE,"Three core cables , Ph+N+PE-2.5 mm2",Contractor,lm,,,,2000,,,,,,,,,,,,9.52380952380952
