# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Piping (Green）
"# Rows: 251, Cols: 26"







No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
Supply by","SIZE
(NPS)",SCH / Rating,Joint Type,UNIT,Qty.,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,,,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout
,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f

AP-01,,Connection Joints
AP-02-01-0019,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,4,CL150,FLGD,PCS,,,,,,,,,,,,317.460317460317
AP-02-01-0020,Gate valve,"CL.800, SW TO B16.11,SOLID WEDGE, STD RT, OS & Y, BOLTED ONNET,HANDWHEEL API 602 +ASME B16.34 BODY: ASTM A105N TRIM: 13Cr +HF",CS,Contractor,1,CL800,FLGD,PCS,,,,,,,,,,,,79.3650793650794
AP-02-01-0021,Gate valve,"Gate Vlv ,API 602/ASME B16.34 ,CL 150 ,RF ,BB,OS&Y,SolidWedge ,Handwheel ,ASTM A182 F316 ,Trim:316/STL(Trim No.12) ,STD Port,ASME B16.5",SS,Contractor,0.75,CL150,FLGD,PCS,6,,,,,,,,,,,63.4920634920635
AP-02-01-0022,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,3,CL150,FLGD,PCS,17,,,,,,,,,,,253.968253968254
AP-02-01-0023,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A351 CF8M ,Trim:316/STL(Trim No.12) ,ASME B16.5",SS,Contractor,2,CL150,FLGD,PCS,20,,,,,,,,,,,158.730158730159
AP-02-01-0024,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A351 CF8M ,Trim:316/STL(Trim No.12) ,ASME B16.5",SS,Contractor,3,CL150,FLGD,PCS,1,,,,,,,,,,,253.968253968254
AP-02-01-0025,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 300 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A216 WCB ,Trim:13Cr/STL(Trim No.8) ,ASME B16.5",CS,Contractor,4,CL300,FLGD,PCS,1,,,,,,,,,,,317.460317460317
AP-02-01-0026,Gate valve,"Gate Vlv ,ASME B16.34/ API 600 ,CL 150 ,RF ,BB,OS&Y,FlexWedge ,Handwheel ,ASTM A351 CF8M ,Trim:316/STL(Trim No.12) ,ASME B16.5",SS,Contractor,1.5,CL150,FLGD,PCS,18,,,,,,,,,,,103.174603174603
AP-02-01-0027,Gate valve,"Gate Vlv ,API 602/ASME B16.34 ,CL 150 ,RF ,BB,OS&Y,SolidWedge ,Handwheel ,ASTM A182 F316 ,Trim:316/STL(Trim No.12) ,STD Port,ASME B16.5",SS,Contractor,1,CL150,FLGD,PCS,230,,,,,,,,,,,79.3650793650794
,,,,,,,0,,,,,,,,,,,,,0
