# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Instrumentation(Green）
"# Rows: 231, Cols: 27"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,WBS,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
IN-02-03-0021,,On-Off Vlave,"STEAM JACKETED BALL; 
Flange：10"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF PTFE LINED;
Shutoff Class: ISO5208 Rate A;
Actuator: Pneumatic;FC, Maximum Closing Time:8s
with two solenoid valve（Ex'd'，3/2 WAY，24VDC） and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II certification ;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0022,,On-Off Vlave,"Ball; 
Flange：10"" ASME CL900 RF;                    
Body Material：ASTM A217  WC6;
Trim Material ：13Cr+HF
Shutoff Class: ISO5208 Rate A;
Actuator: Pneumatic;FC, Maximum Closing Time:10s
with two solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II certification ;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0023,,On-Off Vlave,"Ball; 
Flange：14"" ASME CL300 RF;                    
Body Material：ASTM A216 GR WCB;                                                               
Trim Material ：13Cr+HF                                                                                                                                   
Shutoff Class: ISO5208 Rate A;
Actuator: Pneumatic;FC, Maximum Closing Time:14s
with two solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II certification ;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0024,,On-Off Vlave,"Ball; 
Flange：16"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF;
Shutoff Class: ISO5208 Rate A;
Actuator: Pneumatic;FC, Maximum Closing Time: HOLD
with two solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II certification ;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0025,,On-Off Vlave,"STEAM JACKETED PLUG VALVE ;  
Flange：10"" ASME CL300 RF;                    
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF PTFE LINED;                                                                                                                                 Shutoff Class: ANSI V;
Actuator: Pneumatic;FC, Maximum Closing Time:8s
with one solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches
Explosion proof: IEC Ex ""ia""; IP65;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0026,,On-Off Vlave,"STEAM JACKETED PLUG VALVE;  
Flange：10"" ASME CL300 RF;                    
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF PTFE LINED;                                                                                                                                 Shutoff Class: ANSI V;
Actuator: Pneumatic;FC, Maximum Closing Time:8s
with one solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches
Explosion proof: IEC Ex ""ia""; IP65;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0027,,On-Off Vlave,"STEAM JACKETED PLUG VALVE;  
Flange：10"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF PTFE LINED;
Shutoff Class: ISO5208 Rate CC;
Actuator: Pneumatic;FC, Maximum Closing Time:8s
with two solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II certification ;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0028,,On-Off Vlave,"STEAM JACKETED PLUG VALVE;  
Flange：16"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr PTFE LINED;
Shutoff Class: ISO5208 Rate CC;
Actuator: Pneumatic;FC, Maximum Closing Time:12s
with two solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II   certification ;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0029,,On-Off Vlave,"STEAM JACKETED PLUG VALVE;  
Flange：16"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF PTFE LINED;
Shutoff Class: ISO5208 Rate CC;
Actuator: Pneumatic;FC, Maximum Closing Time:12s
with two solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II certification ;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
IN-02-03-0030,,On-Off Vlave,"STEAM JACKETED PLUG VALVE;  
Flange：20"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF PTFE LINED;
Shutoff Class: ISO5208 Rate CC;
Actuator: Pneumatic;FC, Maximum Closing Time:16s
with two solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II certification ;
Fire Safe:API607 ;",,,ea,,,,,,,,,,,,,,,,,,0
