,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,CODE:24108-25100-,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,
Item,Category,Description,Unit,"Qty.
","QUANTITIES
 BY WBS",,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,
,,,,,"UNIT 40 
Conveyor",UNIT 50,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
4.4,Geotextile ,"Supply and erection Geotextile according to IFC drawings, specifications and ITP",M2,600,,600,11.9582407407407,7174.94444444444,12.9149,7748.94,7.02435185185185,4214.61111111111,0.561948148148148,337.168888888889,0,0,20.5033796296296,12302.0277777778,,
4.40999999999998, HDPED RAIN PIPE,DIA FLEXIBLE HDPED RAIN PIPE (hold),,0,,,,0,,0,,0,,0,,0,,0,,
4.41999999999996,FOAMGLAS INSULATION,Detail refer to AGES-SP-01-001;AGES-STD-01-015 FOAMGLAS INSULATION 225MM FOR TANK BASE ,M2,0,,,,0,,0,,0,,0,,0,,0,,
4.42999999999994,"ANCHOR BOLT 
- TYPE A 
SUPPLY BY WISON","TYPE A Steel ASTM F1554 Grade 36 or Approved Equal
HOT DIP GALVANIZED AS PER ASTM A123/A123 
refer to AGES-SP-01-004;AGES-STD-01-111",T,0,,,,0,,0,,0,,0,,0,,0,,
4.43999999999992,"ANCHOR BOLT
- TYPE B
SUPPLY BY WISON","TYPE A Steel ASTM F1554 Grade 36 (WITH SLEEVE) or Approved Equal
HOT DIP GALVANIZED AS PER ASTM A123/A123M 
refer to AGES-SP-01-004;AGES-STD-01-111",T,0,,,,0,,0,,0,,0,,0,,0,,
4.44999999999991,"ANCHOR BOLT
- TYPE E
SUPPLY BY WISON","TYPE E Steel ASTM F1554 Grade 36 or Approved Equal
HOT DIP GALVANIZED AS PER ASTM A123/A123M 
refer to AGES-SP-01-004;AGES-STD-01-111",T,0,,,,0,,0,,0,,0,,0,,0,,
4.45999999999989,EXPANSION BOLTS,EXPANSION BOLTS,T,0.1,,0.1,2972.22222222222,297.222222222222,3210,321,17324.8851851852,1732.48851851852,1385.99081481481,138.599081481481,3364.936,336.4936,25285.8337962963,2528.58337962963,,
4.47,EMBEDDED PLATE,"EMBEDDED PLATES / INSERT PLATES/ANGLE STEEL ETC.
HOT DIP GALVANIZED AS PER ASTM A123/A123M referto",T,0,,,,0,,0,,0,,0,,0,,0,,
NO.5,,MISCELLANEOUS,,,,,,,,,,,,,,,,,,
5.1,UPVC Conduit With Removable type CAP,"D200,D150 ,D100, D75,D25,D50mm to Similar 
 refer to AGES-SP-01-001",M,10,,10,12.305,123.05,13.2894,132.894,32.3724537037037,323.724537037037,2.5897962962963,25.897962962963,0.535,5.35,48.7791203703704,487.791203703704,,
