,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-,,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,,,REV.B DATE:2025/12/2,,
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,,
,,,,,"UNIT 10 
General
","UNIT 10 Operation
Building",UNIT 10 Substation,"UNIT 10
 LCR","UNIT 10 
Operator Shelter",TANK,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,,
,,,,Q,,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,,
4.4,HDPED RAIN PIPE,DIA FLEXIBLE HDPED RAIN PIPE (hold),,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
4.40999999999998,FOAMGLAS INSULATION,Detail refer to AGES-SP-01-001;AGES-STD-01-015 FOAMGLAS INSULATION 225MM FOR TANK BASE,M2,2413,,,,,,2413,,,,21.8606944444444,52749.8556944443,23.60955,56969.84415,127.121944444444,306745.251944443,10.1697555555556,24539.6201555557,,0,160.90125,388254.71625,,,
4.41999999999996,"ANCHOR BOLT 
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","TYPE A Steel ASTM F1554 Grade 36 or Approved Equal
HOT DIP GALVANIZED AS PER ASTM A123/A123 
refer to AGES-SP-01-004;AGES-STD-01-111",T,5.9,,,,,,5.9,,,,2080.55555555556,12275.2777777778,2247,13257.3,1539.35847222222,9082.2149861111,123.148677777778,726.57719888889,1908.70345,11261.350355,5818.20921296296,34327.4343564815,,,
4.42999999999994,"ANCHOR BOLT 
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","TYPE A Steel ASTM F1554 Grade 36 (WITH SLEEVE) or Approved Equal
HOT DIP GALVANIZED AS PER ASTM A123/A123M 
refer to AGES-SP-01-004;AGES-STD-01-111",T,0.5,,,,,,0.5,,,,2080.55555555556,1040.27777777778,2247,1123.5,1539.36342592593,769.681712962965,123.149074074074,61.574537037037,1908.7088,954.3544,5818.21416666667,2909.10708333334,,,
4.44,"ANCHOR BOLT 
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","Steel ASTM A320-A320M Grade L7 or Approved Equal  for low temperature and cold service
HOT DIP GALVANIZED AS PER ASTM A123/A123M 
refer to AGES-SP-01-004;AGES-STD-01-111",T,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,RATE ONLY,,
4.45,"ANCHOR BOLT 
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","ASTM F1554 Grade 105 or Approved Equal for high strength and normal service
HOT DIP GALVANIZED AS PER ASTM A123/A123M 
refer to AGES-SP-01-004;AGES-STD-01-111",T,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,RATE ONLY,,
4.46,EXPANSION BOLTS,EXPANSION BOLTS,T,0.1,,,,,,0.1,,,,2080.55555555556,208.055555555556,2247,224.7,16549.0856481481,1654.90856481481,1323.92685185185,132.392685185185,1908.70345,190.870345,22028.709212963,2202.8709212963,,,
4.47,EMBEDDED PLATE,"EMBEDDED PLATES / INSERT PLATES/ANGLE STEEL ETC.
HOT DIP GALVANIZED AS PER ASTM A123/A123M referto",T,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
NO.5,,Others,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,UPVC Conduit With Removable type CAP,"D200,D150 ,D100, D75,D25,D50mm to Similar 
 refer to AGES-SP-01-001",M,150,,,,,,150,,,,7.36615740740741,1104.92361111111,7.95545,1193.3175,32.4764814814815,4871.47222222223,2.59811851851852,389.717777777778,0.40125,60.1875,43.4340740740741,6515.11111111111,,,
5.2,PVC Conduit With Removable type CAP,"D200,D150 ,D100, D75,D25,D50mm to Similar 
 refer to AGES-SP-01-001",M,150,,,,,,150,,,,7.36615740740741,1104.92361111111,7.95545,1193.3175,32.4764814814815,4871.47222222223,2.59811851851852,389.717777777778,0.40125,60.1875,43.4340740740741,6515.11111111111,,,
5.3,PIPE SLEEVING,Galvanize PIPE SLEEVING,M,4,,,,,,4,,,,14.4796759259259,57.9187037037036,15.63805,62.5522,78.7837037037037,315.134814814815,6.3026962962963,25.2107851851852,42.8428,171.3712,143.568240740741,574.272962962964,,,
5.4,Duck bank Pipe Cap,"D200,D150 ,D100, D75,D25,D50mm to Similar 
 refer to AGES-SP-01-001",M,4,,,,,,4,,,,7.36615740740741,29.4646296296296,7.95545,31.8218,674.179259259259,2696.71703703704,53.9343407407407,215.737362962963,0.40125,1.605,736.472083333333,2945.88833333333,,,
5.5,Cable Ditch,UG ELECTRICAL/INSTRUCTUMENT CONCRETE CABLE TRENCH,M3,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
5.6,Cable Ditch,DRAINAGE DITCH 1.2m(W)x1.0m(D),M,0,,,,,,,,,,,0,,0,,0,,0,,0,,0,,,
