# Source: Att 01_BOQ - Civil - BLDG Pkg I_Rev.A.xlsx
# Sheet: BLDG （Green)
"# Rows: 211, Cols: 27"

,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BLDG （Green),,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-,
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025,
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS-BASE SCOPE,,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks,
,,,,,"UNIT 10 
Operator 
Shelter",UNIT 10 Substation,"UNIT 10 
Operation Building","UNIT 10 
LCR",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,,
,,,,Q,,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,,
NO.0,,Demolition and Modification,,,,,,,,,,,,,,,,,,,,,,,,
NO.6,,Roof,,,,,,,,,,,,,,,,,,,,,,,,
6.1,Roof,"(1) Top surface coated with approved coating system(sri≥78）
(2) 70mm thk. mesh reinforced concrete panel a142 wire mesh 
(3) geotextile separation layer(density 140g/㎡)
(4) 75 thick polysterene insulation board
(5) geotextile separation layer(density 140g/㎡)
(6)1 layer of 4mm thick water proofing membrane reinforced with a core of non-woven polyester fabric weighing 180g/m³ minimum,torch applied for entire area 
(7)light aggregate concrete screed to 
1%slope, minimum 50mm thick",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
6.2,Roof,CONCRETE PAVER BLOCK(HVAC UNITS ACCESS WALKWAY),M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
6.3,Roof,prepainted profiled metal sheet,M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
6.4,Roof,single skin aluminium sheeting (0.9mm thk.),M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
6.5,Roof,"terrace water proofing:
(1) primer
(2) 4 mm thk. membrane
(3) 75 mm thk. rigid polystyrene thermal insulation board
(4) geotextile membrane
(5) 35mm thk. gravel of 20mm size",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
6.6,Roof,"terrace water proofing:
(1) screed to slope with wwf mesh
(2) 3 mm bituminous sheet
(3) 75 mm thk. rigid polystyrene thermal insulation
(4) vapour barrier
(5) 35mm thk. gravel of 12mm to 15mm average size",M2,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
NO.7,,Door,,,,,,,,,,,,,,,,,,,,,,,,
7.1,"Door
Supply by Wison","SD1: 1050mm (W)  x 2200mm (H)
Steel single leaf door 
Fire rated 1.0H
with 1H fire rated vision panel, panic bar and master key",SET,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
7.2,"Door
Supply by Wison","SD2:1050mm (W)  x 2200mm (H)
Steel single leaf door 
Fire rated 2.0H
with  2H fire rated vision panel, panic bar and master key",SET,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
7.3,"Door
Supply by Wison","SD3:1500mm (W)  x 2200mm (H)
 Steel double leafs door 
Fire rated 2.0H
with panic bar and masterkey",SET,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
7.4,"Door
Supply by Wison","SD4:2100mm (W)  x 3000mm (H)
 Steel double leafs door 
Fire rated 2.0H
with 2H fire rated vision panel, panic bar and master key",SET,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
7.5,"Door
Supply by Wison","SD5:3000mm (W)  x 3300mm (H)
 Steel double leafs door 
Fire rated 2.0H
with panic bar and master key",SET,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
7.6,"Door
Supply by Wison","SD6:  1050mm (W)  x 2200mm (H)
Steel single leaf door 
with vision panel, panic bar and master key",SET,16,,,,,,,,16,6.93,110.88,240.29775,3844.764,0,0,79.8264661764706,1277.22345882353,0,0,320.124216176471,5121.98745882353,,
7.7,"Door
Supply by Wison","SD7:  2000mm (W)  x 2200mm (H)
Steel double leaf door 
Fire rated 1.0H
with 1H fire rated vision panel, panic bar and master key
",SET,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
7.8,"Door
Supply by Wison","SD8:   1800mm (W)  x 2500mm (H)
Steel double leaf door 
Fire rated 1H
with 1H fire rated vision panel,  panic bar and master key
",SET,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
7.9,"Door
Supply by Wison","SD9:   2100mm (W)  x 2700mm (H)
Steel double leaf door 
Fire rated 1H
with 1H fire rated vision panel,  panic bar and master key",SET,0,,,,,,,,,,0,,0,,0,,0,,0,,0,,
