# Source: Att 01_BOQ - Civil - BLDG Pkg I.xlsx
# Sheet: PLOT PLAN（Green）
"# Rows: 104, Cols: 26"
# Internal revision: Rev.A

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLOT PLAN（Green）,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Reference,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,"UNIT 10 
General",UNIT 10 Substation,"UNIT 10 
Operations Building",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
4.2.5,,compacted subgrade,,M2,10127.5,10127.5,,,,,,,0.01,101.275,0.34675,3511.710625,0,0,0.167964411764706,1701.05958014706,1.76058823529412,17830.3573529412,2.27530264705883,23043.1275580883,
4.3,Paving3,"Light Duty Paving
150 mm THK concrete grade 30F with one layers  wire mesh A252;
0.25 THK Polyethylene membrane;
150mm THK coarse granular subbase;
compacted subgrade,(E.J / I.J / C.J are all included)",AGES-SP-01-005  Roads and Paving - Design and Construction Specification,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
4.4.1,,150 mm THK concrete grade 30F ,,M3,0,,,,,,,,,0,,0,,0,,0,,0,,0,
4.4.2,,with one layers  wire mesh A252;,,T,0,,,,,,,,,0,,0,,0,,0,,0,,0,
4.4.3,,0.25 THK Polyethylene membrane;,,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
4.4.4,,150mm THK coarse granular subbase;,,M3,0,,,,,,,,,0,,0,,0,,0,,0,,0,
4.4.5,,compacted subgrade,,M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
4.4,Paving4,"GRAVEL PAVING
150mm crushed rock or gravel size:Min.10mm Max.50mm;
Compacted subgrade.",AGES-SP-01-005  Roads and Paving - Design and Construction Specification,M2,20813.25,20813.25,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
4.4.1,,150mm crushed rock or gravel size:Min.10mm Max.50mm;,,M3,3121.9875,3121.9875,,,,,,,2.5,7804.96875,86.6875,270637.29140625,109.25,341077.134375,2.27051470588235,7088.51853033087,14.4926470588235,45245.8629595587,212.700661764706,664048.80727114,
4.4.2,,Compacted subgrade.,,M2,20813.25,20813.25,,,,,,,0.01,208.1325,0.34675,7216.9944375,0,0,0.167964411764706,3495.88529316177,1.76058823529412,36643.5630882353,2.27530264705883,47356.4428188971,
4.5,Paving5,"Other type Paving
Walkway(with concrete curb wall on each side of walkway)
60mm THK interlocking concrete blocks;
50mm THK laying course sand;
150mm THK sub-base granular material;
Compacted subgrade

",AGES-SP-01-005  Roads and Paving - Design and Construction Specification,M2,133.75,133.75,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
4.5.1,,Walkway(with concrete curb wall on each side of walkway),,M2,133.75,133.75,,,,,,,1.2,160.5,41.61,5565.3375,37.1,4962.125,4.05278823529412,542.060426470588,3.86470588235294,516.904411764706,86.6274941176471,11586.4273382353,
4.5.2,,60mm THK interlocking concrete blocks;,,M3,8.025,8.025,,,,,,,20,160.5,693.5,5565.3375,954,7655.85,46.0758823529412,369.758955882353,64.4117647058824,516.904411764706,1757.98764705882,14107.8508676471,
4.5.3,,50mm THK laying course sand;,,M3,6.6875,6.6875,,,,,,,1.5,10.03125,52.0125,347.83359375,68.75,459.765625,1.57701470588235,10.5462858455882,5.20661764705882,34.8192555147059,127.546132352941,852.964760110294,
4.5.4,,150mm THK sub-base granular material;,,M3,20.0625,20.0625,,,,,,,1.5,30.09375,52.0125,1043.50078125,56.25,1128.515625,1.57701470588235,31.6388575367646,14.4926470588235,290.758731617647,124.332161764706,2494.41399540441,
4.5.5,,Compacted subgrade,,M2,133.75,133.75,,,,,,,0.01,1.3375,0.34675,46.3778125,0,0,0.167964411764706,22.4652400735294,1.76058823529412,235.478676470589,2.27530264705883,304.321729044118,
4.6,Paving6,"PAVING COLOR CONCRETE
COLOUR (RED OXIDE FOR UNDERGROUND ELECTRICAL AND GREEN OXIDE FOR UNDERGROUND INSTRUMENTCABLES) IN DUCT BANKS, TRENCH COVERS, SLABS AND PAVING ABOVE UNDERGROUND CABLES SHALL BE INACCORDANCE WITH BS EN 12878 OR ASTM C 979 / C979.
refer to AGES-SP-01-001;AGES-STD-01-101",,M3,100,100,,,,,,,20,2000,693.5,69350,530,53000,33.7302941176471,3373.02941176471,42.9411764705882,4294.11764705882,1300.17147058824,130017.147058824,
NO.5,,Ditch,,,,,,,,,,,,,,,,,,,,,,,
5.1,Concrete Lined Ditch,"width:1m,depth:1m,thickness:150mm Painting system with Protection System",AGES-SP-01-00 Drainage Systems - Design and Construction Specification,M,3056,3056,,,,,,,6,18336,208.05,635800.8,750,2292000,16.5065882352941,50444.1336470588,235.747058823529,720443.011764705,1210.30364705882,3698687.94541176,
5.2,"Steel grating plate
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR",Heavy duty steel grating plate HGD,AGES-SP-01-00 Drainage Systems - Design and Construction Specification,M,3056,3056,,,,,,,2.2,6723.2,76.285,233126.96,0,0,8.61099411764706,26315.1980235294,16.5323529411765,50522.8705882354,101.428347058824,309965.028611765,
5.3,Angle Steel,Embed angled steel on both sides of ditch to provide structural support for the grating cover,,T,32.82144,32.82144,,,,,,,120,3938.5728,4161,136570.01184,10000,328214.4,212.043529411765,6959.57397797648,257.647058823529,8456.34748235293,14630.6905882353,480200.333300329,
5.4,Concrete slope protection,"100 THK concret liner with fibre reinforcemnt;
welded wire fabric min A193(200 x 200;7 mm dia)",,M2,208,208,,,,,,,1.71,355.68,59.29425,12333.204,65.53375,13631.02,3.37856882352941,702.742315294117,4.65106617647059,967.421764705883,132.857635,27634.38808,
,,SUBTOTAL-PLOT PLAN (Green）,,,,,,,,,,,,108146.7528,,3749988.65334,,5250067.441875,,224543.397023969,,1666993.33242077,,10891592.8246597,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,  ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
