# Source: Att 01_BOQ - Civil - BLDG Pkg I_Rev.A.xlsx
# Sheet: CIVIL（Brown)
"# Rows: 118, Cols: 20"

,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,CIVIL（Brown),,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE I,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Unit,"Qty.
","QUANTITIES
 BY WBS",,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,"UNIT 40 
Conveyor",UNIT 50,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
NO.1,,Piling,,,,,,,,,,,,,,,,,
1.1,Pile Cuting and Treatment,"Pile Cuting for Pile fourndation as per AGES-SP-01-001/008, Φ600mm",EA,200,200,,17.6,3520,610.28,122056,0,0,56.4770941176471,11295.4188235294,300.588235294118,60117.6470588236,967.345329411765,193469.065882353,
1.2,Pile Cuting and Treatment,"Pile Cuting for Pile fourndation as per AGES-SP-01-001/008, Φ800mm",EA,10,10,,26.4,264,915.42,9154.2,0,0,84.7156411764706,847.156411764706,450.882352941176,4508.82352941176,1451.01799411765,14510.1799411765,
NO.2,,Demolition,,,,,,,,,,,,,,,,,
2.1,Demolition,"Demolition of reinforced concrete for foundations, slabs, footings, channels, culberts, well points, manholes and/or equipment supports",M3,0,,,,0,,0,,0,,0,,0,,0,
2.2,Demolition,Demolition and/or Disassembly of existing Catch Basins or Manholes,EA,0,,,,0,,0,,0,,0,,0,,0,
2.3,Demolition,Demolition of pile (L=1.5m),EA,0,,,,0,,0,,0,,0,,0,,0,
2.4,Demolition,"Demolition and/or Disassembly of Existing Buildings, incluided demolition of foundations and all underground installaltion inside of its battery limits",M3,0,,,,0,,0,,0,,0,,0,,0,
2.5,Demolition,"Openings execution, by chipping hammer or pneumatic hammer means, any size, properly finished.",M3,0,,,,0,,0,,0,,0,,0,,0,
