# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Electrical (Green）
"# Rows: 321, Cols: 26"

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,0
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,QUANTITY,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
EL-02-0001,,,"HOT DIP GALVANIZED, RIGID STEEL CONDUIT W/COUPLING AT ONE END 6000mm LONG , ZINC (HOT-DIP GALVANIZING) COATING SHALL BE ACCORDING TO STANDARD ""ASTM A123/A 123M""",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,ELECTRICAL CONDUIT,"1""(D)  X 6M(LONG)",,Contractor,lm,1080,300,60,180,480,60,0.9936,1073.088,43.758144,47258.79552,18.8638,20372.904,5.71644381176471,6173.75931670589,1.16576470588235,1259.02588235294,69.5041525176471,75064.4847190588,
,,ELECTRICAL CONDUIT,"2""(D)  X 6M LONG",,Contractor,lm,2220,300,60,180,1620,60,1.47384,3271.9248,64.9079136,144095.568192,37.9478,84244.116,8.33658547764706,18507.2197603765,1.70007352941176,3774.16323529411,112.892372607059,250621.067187671,
,,ELECTRICAL CONDUIT,"3""(D)  X 6M LONG",,Contractor,lm,420,0,0,0,420,0,1.863,782.46,82.04652,34459.5384,56.6691176470588,23801.0294117647,10.5750402352941,4441.51689882352,2.28295588235294,958.841470588235,151.573633764706,63660.9261811765,
,,ELECTRICAL CONDUIT,"4""(D)  X 6M LONG",,Contractor,lm,360,0,0,0,360,0,2.21904,798.8544,97.7265216,35181.547776,84.41,30387.6,12.7064933364706,4574.33760112942,3.15727941176471,1136.6205882353,198.000294348235,71280.1059653647,
,,,,,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-03,,,"LIGHTING FIXTURE & RECEPTACLE [INDOOR (polycarbonate for industrial & indoor type)& OUTDOOR
TYPE(Aluminum or GRP for EX type)]",,,,,,,,,,,,,,,,,,,,,,
EL-03-0001,,,"LED, Well glass fixture, Ceiling mounted. EEx(d) type suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP67. With gland and junction box.",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,LIGHTING FIXTURE,70W,,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,LIGHTING FIXTURE,2 x 18W,,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-03-0002,,,"LED(Emergency with 1.5 hour battery backup), Well glass fixture, Ceiling mounted. EEx(d) type suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP67. With gland and junction box.",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,LIGHTING FIXTURE,70W,,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,LIGHTING FIXTURE,2 x 18W,,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-03-0003,,,"LED, Well glass fixture, bracket mounted. EEx(d) type suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP67. With gland and junction box.",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,LIGHTING FIXTURE,70W,,Contractor,set,100,,,,70,30,10.856,1085.6,478.09824,47809.824,0,0,56.6610004705882,5666.10004705882,159.550551470588,15955.0551470588,694.309791941176,69430.9791941176,
,,LIGHTING FIXTURE,2 x 18W,,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-03-0004,,,"LED(Emergency with 1.5 hour battery backup), Well glass fixture, bracket mounted. EEx(d) type suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP67. With gland and junction box.",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,LIGHTING FIXTURE,70W,,Contractor,set,30,,,,20,10,10.856,325.68,478.09824,14342.9472,0,0,56.6610004705882,1699.83001411765,159.550551470588,4786.51654411764,694.309791941176,20829.2937582353,
,,LIGHTING FIXTURE,2 x 18W,,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-03-0005,,,"LED, Well glass fixture,platform mounted. EEx(d) type suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP67. With gland and junction box.",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,LIGHTING FIXTURE,70W,,Contractor,set,30,,,,,30,10.856,325.68,478.09824,14342.9472,0,0,56.6610004705882,1699.83001411765,159.550551470588,4786.51654411764,694.309791941176,20829.2937582353,
,,LIGHTING FIXTURE,2 x 18W,,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-03-0006,,,"LED(Emergency with 1.5 hour battery backup), Well glass fixture,platform mounted. EEx(d) type suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP67. With gland and junction box.",,,,0,,,,,,,0,,0,,0,,0,,0,0,0,
,,LIGHTING FIXTURE,70W,,Contractor,set,15,,,,,15,10.856,162.84,478.09824,7171.4736,0,0,56.6610004705882,849.915007058823,159.550551470588,2393.25827205882,694.309791941176,10414.6468791176,
,,LIGHTING FIXTURE,2 x 18W,,,set,0,,,,,,,0,,0,,0,,0,,0,0,0,
EL-03-0007,,LIGHTING FIXTURE,"150W, LED, floodlight,bracket mounted. EEx(d) type suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP67. With gland and junction box.",,Contractor,set,10,,,,,10,14.72,147.2,648.2688,6482.688,0,0,79.4205270588235,794.205270588235,219.363455882353,2193.63455882353,947.052782941177,9470.52782941177,
EL-03-0008,,LIGHTING FIXTURE,"150W, LED, floodlight (Emergency with 1.5 hour battery backup),bracket mounted. EEx(d) type suitable for zone21,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3, IP67. With gland and junction box.",,Contractor,set,5,,,,,5,14.72,73.6,648.2688,3241.344,0,0,79.4205270588235,397.102635294117,219.363455882353,1096.81727941176,947.052782941177,4735.26391470588,
EL-03-0009,,LIGHTING FIXTURE,"38W,LED Square Light Fitting, Weatherproof, recessed mount",,Contractor,set,65,,15,50,,,10.856,705.64,478.09824,31076.3856,0,0,56.6610004705882,3682.96503058823,159.550551470588,10370.7858455882,694.309791941176,45130.1364761764,
