# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Instrumentation(Green）
"# Rows: 227, Cols: 23"

,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,MATERIAL,Material Supplied By,UNIT,Qty.,QUANTITY,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,"UNIT 10 
General",UNIT 20,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,Q,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
IN-02-03-0009,,Control valve,"Globe（Single seat globe);  
Flange：2"" ASME CL300 RF; 
Body Material ：ASTM A351-CF8M;  
Trim Material:SS316+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FO,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,Contractor,ea,2,2,,24.7296,49.4592,1089.091584,2178.183168,,0,127.658540752941,255.317081505882,76.1794852941176,152.358970588235,1292.92961004706,2585.85922009412,
IN-02-03-0010,,Control valve,"Globe（Single seat globe);  
Flange：3"" ASME CL300 RF; 
Body Material ：ASTM A351-CF8M;  
Trim Material:SS316+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,Contractor,ea,1,1,,26.956,26.956,1187.14224,1187.14224,,0,138.197606352941,138.197606352941,76.4088602941177,76.4088602941177,1401.74870664706,1401.74870664706,
IN-02-03-0011,,Control valve,"Rotary Eccentric Plug(Valve is Jacketed type);  
Flange：6"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF PTFE LINED;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FO,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,Contractor,ea,5,,5,31.326,156.63,1379.59704,6897.9852,,0,161.037527529412,805.18763764706,78.6216544117647,393.108272058823,1619.25622194118,8096.28110970588,
IN-02-03-0012,,Control valve,"Rotary Eccentric Plug(Valve is Jacketed type);  
Flange：10"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF PTFE LINED;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,Contractor,ea,3,,3,43.3136,129.9408,1907.530944,5722.592832,,0,218.904153223529,656.712459670587,128.719852941176,386.159558823528,2255.15495016471,6765.46485049412,
IN-02-03-0013,,Control valve,"Globe（Double seat globe);  
Flange：6"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF;
Shutoff Class: ANSI IV;
Actuator: Pneumatic, FC,
with Smart Positioner, Exia,IP66,4-20mA+HART;
Fire Safe:API607;",,Contractor,ea,3,,3,31.326,93.978,1379.59704,4138.79112,,0,161.037527529412,483.112582588236,78.6216544117647,235.864963235294,1619.25622194118,4857.76866582353,
IN-02-03-0014,,On-Off Vlave,"Ball; 
Flange：1-1/2"" ASME CL300 RF;                    
Body Material：ASTM A216 GR WCB;                                                             
Trim Material ：13Cr+HF                                                                                                                                   
Shutoff Class: ISO5208 Rate CC;
Actuator: Pneumatic;FC, Maximum Closing Time:1.5s
with two solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II certification ;
Fire Safe:API607 ;",,Contractor,ea,2,2,,21.896,43.792,964.29984,1928.59968,,0,112.416072235294,224.832144470588,71.3086397058824,142.617279411765,1148.02455194118,2296.04910388235,
IN-02-03-0015,,On-Off Vlave,"Ball; 
Flange：2"" ASME CL300 RF;                    
Body Material：ASTM A216 GR WCB;                                                               
Trim Material ：13Cr+HF                                                                                                                                 
Shutoff Class: ANSI V;
Actuator: Pneumatic;FC, Maximum Closing Time:2s
with one solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches
Explosion proof: IEC Ex ""ia""; IP65;
Fire Safe:API607 ;",,Contractor,ea,1,,1,22.2088,22.2088,978.075552,978.075552,,0,113.944761082353,113.944761082353,71.3086397058824,71.3086397058824,1163.32895278824,1163.32895278824,
IN-02-03-0016,,On-Off Vlave,"Ball; 
Flange：3"" ASME CL300 RF;                    
Body Material：ASTM A216 GR WCB;                                                               
Trim Material ：13Cr+HF                                                                                                                                 
Shutoff Class: ANSI V;
Actuator: Pneumatic;FC, Maximum Closing Time:3s
with one solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches
Explosion proof: IEC Ex ""ia""; IP65
Fire Safe:API607 ;",,Contractor,ea,3,,3,24.4352,73.3056,1076.126208,3228.378624,,0,124.483826682353,373.451480047059,71.5380147058824,214.614044117647,1272.14804938824,3816.44414816471,
IN-02-03-0017,,On-Off Vlave,"Ball; 
Flange：3"" ASME CL300 RF;                    
Body Material：ASTM A216 GR WCB;                                                              
Trim Material ：13Cr+HF                                                                                                                                   
Shutoff Class: ISO5208 Rate CC;
Actuator: Pneumatic;FC, Maximum Closing Time:3s
with two solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65
with SIL II certification ;
Fire Safe:API607 ;",,Contractor,ea,1,1,,24.4352,24.4352,1076.126208,1076.126208,,0,124.483826682353,124.483826682353,71.5380147058824,71.5380147058824,1272.14804938824,1272.14804938824,
IN-02-03-0018,,On-Off Vlave,"Ball; 
Flange：3"" ASME CL300 RF;                    
Body Material：ASTM A216 GR WCB;                                                              
Trim Material ：13Cr+HF                                                                                                                                 
Shutoff Class: ISO5208 Rate CC;
Actuator: Pneumatic;FC, Maximum Closing Time:3s
with one solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II certification ;
Fire Safe:API607 ;",,Contractor,ea,1,1,,24.4352,24.4352,1076.126208,1076.126208,,0,124.483826682353,124.483826682353,71.5380147058824,71.5380147058824,1272.14804938824,1272.14804938824,
IN-02-03-0019,,On-Off Vlave,"Ball; 
Flange：3"" ASME CL300 RF;                    
Body Material：ASTM A216 GR WCB;
Trim Material ：13Cr+HF
Shutoff Class: ANSI V;
Actuator: Pneumatic;FC, Maximum Closing Time:3s
with one solenoid valve(24 VDC,3/2 WAY) and two limit switches
Explosion proof: IEC Ex ""ia""; IP65;
Fire Safe:API607 ;",,Contractor,ea,1,1,,24.4352,24.4352,1076.126208,1076.126208,,0,124.483826682353,124.483826682353,71.5380147058824,71.5380147058824,1272.14804938824,1272.14804938824,
IN-02-03-0020,,On-Off Vlave,"Ball; 
Flange：3"" ASME CL300 RF;                    
Body Material：ASTM A351-CF8M;                                                               
Trim Material ：SS316+HF                                                                                                                                    
Shutoff Class: ANSI V;
Actuator: Pneumatic;FC, Maximum Closing Time:3s
with one solenoid valve(Ex'd'，3/2 WAY，24VDC) and two limit switches
Explosion proof: IEC Ex ""ia""; IP65;
Fire Safe:API607 ;",,Contractor,ea,3,3,,24.4352,73.3056,1076.126208,3228.378624,,0,124.483826682353,373.451480047059,71.5380147058824,214.614044117647,1272.14804938824,3816.44414816471,
IN-02-03-0021,,On-Off Vlave,"STEAM JACKETED BALL; 
Flange：10"" ASME CL300 RF; 
Body Material ：ASTM A216 GR WCB;  
Trim Material:13Cr+HF PTFE LINED;
Shutoff Class: ISO5208 Rate A;
Actuator: Pneumatic;FC, Maximum Closing Time:8s
with two solenoid valve（Ex'd'，3/2 WAY，24VDC） and two limit switches and one partial stroke test  Positioner and one  pressure transmitter
Explosion proof: IEC Ex ""ia""; IP65;
with SIL II certification ;
Fire Safe:API607 ;",,Contractor,ea,3,,3,40.7928,122.3784,1796.514912,5389.544736,,0,205.190373552941,615.571120658823,123.849007352941,371.547022058823,2125.55429290588,6376.66287871765,
