# Source: Appendix D.1 BOQ For Pkg II.xlsx
# Sheet: Fire Fighting (Green）
"# Rows: 158, Cols: 31"

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025"
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,"Material
Supply by","SIZE
(NPS)",SCH / Rating,Joint Type,Material Supplied By,UNIT,Qty.,QUANTITY,,,,,Weight (t),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,,,,,,,,,,"UNIT 10 
SUB 
Station","UNIT 10 
Operations
Sehlter","UNIT 10 
NCR","UNIT 10 
General",UNIT 20,Unit,Total,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
Firefighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF-01,,Connection Joints,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF-02-01-0003,VALVE,"Butterfly Vlv ,API 609 Cat B ,CL 150 ,RF ,Gear operator ,ASTM A216 WCB ,Trim:316/RPTFE ,ASME B16.5 ,Double-offset,Wafer Lug type",CS,Contractor,4,CL 150,FLGD,,ea,8,,,,8,,0.052,1.456,9.04176,72.33408,398.1991104,3185.5928832,0,0,112.575707736471,900.605661891768,5.17577941176471,41.4062352941177,515.950597548236,4127.60478038589,
FF-02-01-0004,VALVE,"Butterfly Vlv ,API 609 Cat A ,CL 150 ,FF ,Gear operator ,ASTM A216 WCB,Lined with Chloroprene Rubber or EPDM ,Trim:BRONZE ,ASME B16.5 ,Concentric,LUG Type",CS,Contractor,6,CL 150,FLGD,,ea,0,,,,,,0.088,1.936,0,0,0,0,0,0,0,0,0,0,0,0,
FF-02-01-0005,VALVE,"Butterfly Vlv ,API 609 Cat B ,CL 150 ,RF ,Gear operator ,ASTM A216 WCB ,Trim:316/RPTFE ,ASME B16.5 ,Double-offset,Wafer Lug type",CS,Contractor,6,CL 150,FLGD,,ea,0,,,,,,0.088,0.968,0,0,0,0,0,0,0,0,0,0,0,0,
FF-02-01-0006,VALVE,"Butterfly Vlv ,API 609 Cat A ,CL 150 ,FF ,Gear operator ,ASTM A216 WCB,Lined with Chloroprene Rubber or EPDM ,Trim:BRONZE ,ASME B16.5 ,Concentric,LUG Type",CS,Contractor,8,CL 150,FLGD,,ea,0,,,,,,0.144,1.44,0,0,0,0,0,0,0,0,0,0,0,0,
FF-02-01-0007,VALVE,"Butterfly Vlv ,API 609 Cat B ,CL 150 ,RF ,Gear operator ,ASTM A216 WCB ,Trim:316/RPTFE ,ASME B16.5 ,Double-offset,Wafer Lug type",CS,Contractor,8,CL 150,FLGD,,ea,0,,,,,,0.144,0.288,0,0,0,0,0,0,0,0,0,0,0,0,
FF-02-01-0008,VALVE,"Butterfly Vlv ,API 609 Cat A ,CL 150 ,FF ,Gear operator ,ASTM A216 WCB,Lined with Chloroprene Rubber or EPDM ,Trim:BRONZE ,ASME B16.5 ,Concentric,LUG Type",CS,Contractor,10,CL 150,FLGD,,ea,0,,,,,,0.197,2.364,0,0,0,0,0,0,0,0,0,0,0,0,
FF-02-01-0009,VALVE,"Butterfly Vlv ,API 609 Cat B ,CL 150 ,RF ,Gear operator ,ASTM A216 WCB ,Trim:316/RPTFE ,ASME B16.5 ,Double-offset,Wafer Lug type",CS,Contractor,10,CL 150,FLGD,,ea,0,,,,,,0.197,1.97,0,0,0,0,0,0,0,0,0,0,0,0,
FF-02-01-0010,VALVE,"Butterfly Vlv ,API 609 Cat B ,CL 150 ,RF ,Gear operator ,ASTM A351 CF8M ,Trim:316/STL(Trim No.12) ,ASME B16.5 ,Double-offset,Wafer Lug type",CS,Contractor,10,CL 150,FLGD,,ea,0,,,,,,0.197,1.576,0,0,0,0,0,0,0,0,0,0,0,0,
FF-02-01-0011,VALVE,"Butterfly Vlv ,API 609 Cat A ,CL 150 ,FF ,Gear operator ,ASTM A216 WCB,Lined with Chloroprene Rubber or EPDM ,Trim:BRONZE ,ASME B16.5 ,Concentric,LUG Type",CS,Contractor,12,CL 150,FLGD,,ea,0,,,,,,0.298,0.298,0,0,0,0,0,0,0,0,0,0,0,0,
FF-02-01-0012,VALVE,"Butterfly Vlv ,API 609 Cat B ,CL 150 ,RF ,Gear operator ,ASTM A351 CF8M ,Trim:316/STL(Trim No.12) ,ASME B16.5 ,Double-offset,Wafer Lug type",CS,Contractor,12,CL 150,FLGD,,ea,0,,,,,,0.298,0.894,0,0,0,0,0,0,0,0,0,0,0,0,
