# Source: Appendix D.1 BOQ For MEI-Package II Rev.C to Wison 2026-2-5 .xlsx
# Sheet: Piping (Green）
"# Rows: 257, Cols: 42"

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Ruwais Sulfur Granulation Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBCONTRACT: MECHANICAL ELECTRICAL AND INSTALLATION WORKS-Package II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REV. C, DATE: 30/DEC/2025",
No.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material,Material Supplied By,"SIZE
(NPS)",SCH / Rating,Joint Type,UNIT,Qty.,QUANTITY,,,,,,,,,,,QUANTITIES BY WBS -Change Order,,,,,Weight (t),,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK,
,,,,,,,,,,"UNIT 10 31
Inslrument & Utlity Air System,
Nitrogen","UNIT 10 23
Process Water System Recovery System","UNIT 10 
Substation","UNIT 10 32
Steam Distribution and
Condensate Recovery System","UNIT 10 
Operations Building","UNIT 10 
Operator
Sehlter","UNIT 10 
LCR","UNIT 10 
General","UNIT 20
AP-01-32,CARBON STEEL,"CS,3,CL300,Fillet Weld",CS,Contractor,3,CL300,Fillet Weld,Dia-Inch,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,Jacket quantity deducted,
AP-01-33,CARBON STEEL,"CS,4,S-40,Butt Weld",CS,Contractor,4,S-40,Butt Weld,Dia-Inch,1043.68813776368,,,,,,,,,,,,,,,,,0.00646,6.74222536995337,5.34561114087,5579.15093682339,235.420714643915,245705.807257702,,0,50.5374234241505,52745.3093409262,23.117450140216,24127.4084866868,309.075588208282,322578.525085315,Jacket quantity deducted,
AP-01-34,CARBON STEEL,"CS,4,S-80,Butt Weld",CS,Contractor,4,S-80,Butt Weld,Dia-Inch,596.94470307543,,,,,,,,,,,,,,,,,0.00837,4.99642716474135,6.304427107407,3763.39436769176,277.646969810204,165739.887953145,,0,59.6020723875298,35579.1414040543,27.2639134193341,16275.0487007786,364.512955617068,217594.078057978,Jacket quantity deducted,
AP-01-35,CARBON STEEL,"CS,4,CL150,Fillet Weld",CS,Contractor,4,CL150,Fillet Weld,Dia-Inch,0,,,,,,,,,,,,,,,,,0.00324,0,0,0,0,0,,0,0,0,0,0,0,0,Jacket quantity deducted,
AP-01-36,CARBON STEEL,"CS,6,S-40,Butt Weld",CS,Contractor,6,S-40,Butt Weld,Dia-Inch,2879.46153846154,,,,,,,,,,,,,,,,,0.00393,11.3162838461539,5.6892575713545,16381.9983591164,250.554903442452,721463.207735485,,0,53.7862577871316,154875.460595823,24.6035719349442,70845.0390954436,328.944733164528,947183.707426752,Jacket quantity deducted,
AP-01-37,CARBON STEEL,"CS,6,S-80,Butt Weld",CS,Contractor,6,S-80,Butt Weld,Dia-Inch,12,,,,,,,,,,,,,,,,,0.00544,0.06528,7.3268813018115,87.922575621738,322.675852531779,3872.11023038135,,0,69.2683573440539,831.220288128647,31.6855844382167,380.2270132586,423.62979431405,5083.5575317686,,
AP-01-38,CARBON STEEL,"CS,6,CL150,Fillet Weld",CS,Contractor,6,CL150,Fillet Weld,Dia-Inch,0,,,,,,,,,,,,,,,,,0.0022,0,0,0,0,0,,0,0,0,0,0,0,0,Jacket quantity deducted,
AP-01-39,CARBON STEEL,"CS,8,S-20,Butt Weld",CS,Contractor,8,S-20,Butt Weld,Dia-Inch,80,,,,,,,,,,,,,,,,,0.00541,0.4328,5.3668238834925,429.3459106794,236.35492382901,18908.3939063208,,0,50.7379687551987,4059.0375004159,23.2091860534708,1856.73488427766,310.302078637679,24824.1662910144,Jacket quantity deducted,
AP-01-40,CARBON STEEL,"CS,8,S-30,Butt Weld",CS,Contractor,8,S-30,Butt Weld,Dia-Inch,1520.20512820513,,,,,,,,,,,,,,,,,,,5.659559731683,8603.69172748775,249.247010583319,378906.58367856,,0,53.5054943236641,81339.3268579846,24.4751416563874,37207.2358595871,327.227646563371,497453.146396132,Jacket quantity deducted,
AP-01-41,CARBON STEEL,"CS,8,CL150,Fillet Weld",CS,Contractor,8,CL150,Fillet Weld,Dia-Inch,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,Jacket quantity deducted,
