# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: Equipment Rates
"# Rows: 258, Cols: 5"

,,,,PART II EXHIBIT D CONTRACT PRICE
,,,,APPENDIX D-4 ALL INCLUSIVE EQUIPMENT RATES
,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,CONTRACT NO. :XXXXX
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE,,,,
All Inclusive Equipment Rates,,,,
SR. NO.,DESCRIPTION,MONTHLY RATE FOR WORK (AED),DAY RATE FOR WORK (AED),DAY RATE FOR STAND-BY (AED)
107,Transit Mixer 6 M3,NA,NA,NA
108,Ambulance ,33945,1697.25,1357.8
108,4 WD Pickup with A/C,17155,857.75,686.2
109,4 WD Station Wagon with A/C,22630,1131.5,905.2
109,CAT 966 Rubber Tyred Shovels,42340,2117,1693.6
110,"Cold Cutting Machine upto 48""",13870,693.5,554.8
110,Cutting & Beveling Machine,3650,182.5,146
111,Survey Equipment,17155,857.75,686.2
111,Holiday Detector,11680,584,467.2
112,Hydraulic Jack Hammer,78475,3923.75,3139
112,"Crawler Crane, 400 T",NA,NA,NA
113,"Crawler Crane, 350 T",NA,NA,NA
113,"Crawler Crane, 250 T",NA,NA,NA
114,"Crawler Crane, 165 T",NA,NA,NA
114,"Crawler Crane, 110 T",223745,11187.25,8949.8
115,"Crawler Crane, 70 T",154030,7701.5,6161.2
115,"Crawler Crane, 50 - 60 T",112055,5602.75,4482.2
116,"Mobile Crane, 120 - 125 T",NA,NA,NA
116,"Mobile Crane, 110 T",NA,NA,NA
117,"Mobile Crane, 70 T",195640,9782,7825.6
117,"Mobile Crane, 50 T",139795,6989.75,5591.8
118,Mobile Crane 40 T,112055,5602.75,4482.2
118,"Mobile Crane, 18T",56210,2810.5,2248.4
119,"RT Crane, 51 - 60 T",NA,NA,NA
119,"RT Crane, 41 - 50 T",NA,NA,NA
120,"RT Crane, 30 - 40 T",NA,NA,NA
120,"RT Crane, 18 - 20 T",NA,NA,NA
121,4WD Landcruiser with A/C,25550,1277.5,1022
121,Saloon Car (5 seater with A/C),21170,1058.5,846.8
122,Others ( BIDDER to specify),,,
Special Notes,,,,
"1.The above daily equipment rates shall apply for 10 hours/day of operational use of Subcontractor-owned and supplier's construction equipment which has been mobilized to the general vicinity of WORK SITE. And the monthly rate applies for the equipment which to be rented for at least 1 month. When Subcontractor's equipment does not resemble the equipment having rates listed herein, the rate shall be negotiated and agreed upon in writing by Contractor.",,,,
"2.Equipment rates shall include all costs to Subcontractor for mobilization, demobilization, loading and off-loading, assembly and disassembly, overtime premium, bonuses, holidays premium, fuel, maintenance, repairs, insurance, overhead and profits, and any other allowance and/or expense incurred to Subcontractor in compliance with all applicable Federal, State and Local laws.",,,,
3.Equipment rates shall include all typical equipment accessories required for use within the equipment including spare parts.,,,,
"4.Any equipment standby time for changes in SUBCONTRACT WORK caused by CONTRACTOR shall be approved by CONTRACTOR (if applicable), and shall be paid at the percentages quoted above.",,,,
5.Subcontractor's costs for any construction equipment not available at jobsite which must be rented by Subcontractor or its low tier subcontractor or suppliers for the execution of changes to SUBCONTRACT WORK shall be reimbursed at actual cost to Subcontractor plus.5%-(five percent).,,,,
"6.The cost for equipment drivers, operators, fuelers, oilers etc. are included in the Construction Equipment rates.",,,,
"7. VAT will be excluded in the proposal and submit together with the invoice, which is required to be approved by Wison.",,,,
,,,,
