# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: PLOT PLAN（Green）
"# Rows: 83, Cols: 26"

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE II,,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Reference,Unit,"Qty.
",QUANTITIES BY WBS,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,,"UNIT 10 
General",UNIT 10 Substation,"UNIT 10 
Operations Building",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
3.5.4,,150mm THK sub-base granular material;,,M3,20.0625,20.0625,0,0,0,0,0,0,1.76,35.31,56.8524,1140.601275,160.859375,3227.2412109375,1.62013623529412,32.5039832205883,25.2279411764706,506.135569852941,244.559852411765,4906.48203901103,
3.5.5,,Compacted subgrade,,M2,133.75,133.75,0,0,0,0,0,0,0.0088,1.177,0.284262,38.0200425,0,0,0.150611710588235,20.1443162911764,1.76058823529412,235.478676470589,2.19546194588235,293.643035261765,
3.6,Paving6,"PAVING COLOR CONCRETE
COLOUR (RED OXIDE FOR UNDERGROUND ELECTRICAL AND GREEN OXIDE FOR UNDERGROUND INSTRUMENTCABLES) IN DUCT BANKS, TRENCH COVERS, SLABS AND PAVING ABOVE UNDERGROUND CABLES SHALL BE INACCORDANCE WITH BS EN 12878 OR ASTM C 979 / C979.
refer to AGES-SP-01-001;AGES-STD-01-101",,M3,50,50,,,,,,,17.6,880,568.524,28426.2,470.375,23518.75,29.2447447058824,1462.23723529412,42.9411764705882,2147.05882352941,1111.08492117647,55554.2460588235,
NO.4,,Ditch,,,,,,,,,,,,,,,,,,,,,,,
4.1,Concrete Lined Ditch,"width:1m,depth:1m,thickness:150mm  Painting system with Protection System",AGES-SP-01-00 Drainage Systems - Design and Construction Specification,M,1604.4,1604.4,,,,,,,5.28,8471.232,170.5572,273641.97168,665.625,1067928.75,14.5221734117647,23299.3750218353,235.747058823529,378232.58117647,1086.45143223529,1743102.6778783,
4.2,"Steel grating plate
SUPPLY BY WISON,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR",Heavy duty steel grating plate HGD,AGES-SP-01-00 Drainage Systems - Design and Construction Specification,M,1604.4,1604.4,,,,,,,1.936,3106.1184,62.53764,100335.389616,0,0,7.62751750588235,12237.5890864376,16.5323529411765,26524.5070588236,86.6975104470588,139097.485761261,
4.3,Angle Steel,Embed angled steel on both sides of ditch to provide structural support for the grating cover,,T,17.231256,17.231256,,,,,,,140.8,2426.1608448,4548.192,78371.060689152,10650,183512.8764,206.905016470588,3565.23330648892,257.647058823529,4439.58242823529,15662.7440752941,269888.752823876,
4.4,Concrete slope protection,"100 THK concret liner with fibre reinforcemnt;
welded wire fabric min A193(200 x 200;7 mm dia)",,M2,109.2,109.2,,,,,,,1.5048,164.32416,48.608802,5308.0811784,58.161203125,6351.20338125,2.94559148117647,321.658589744471,4.65106617647059,507.896426470588,114.366662782647,12488.8395758651,
,,SUBTOTAL-PLOT PLAN (Green）,,,,,,,,,,,,81519.3669048,,2633279.3494423,,3727738.17560156,,154149.458080357,,1254075.10971224,,7769242.09283646,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,  ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
