# Source: Att 02_BOQ - Civil - BLDG Pkg III_Rev.A.xlsx
# Sheet: BLDG （Green)
"# Rows: 210, Cols: 25"

,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
PROJECT:EPC WORKS of the Sulfur Granulator Plant For ADNOC GAS RSHT-2(RSGP),,,,,,,,,,,,,,,,,,,,,,,,CODE:24108-25100-
SUBCONTRACT:CIVIL AND BLDG WORKS PACKAGE III-BASE SCOPE,,,,,,,,,,,,,,,,,,,,,,,,REV.A DATE: 05/Sep/2025
Item,Category,Description,Unit,"Qty.
",QUANTITIES BY WBS-BASE SCOPE,,,,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST TOTAL
F",,Remarks
,,,,,"UNIT 10 
Operator 
Shelter",UNIT 10 Substation,"UNIT 10 
LCR",UNIT 20,UNIT 30,UNIT 40 General,"UNIT 40 
SSB",U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,U/Rate,Amout,
,,,,Q,,,,,,,,a,=Q*a,b,=Q*b,c,=Q*c,d,=Q*d,e,=Q*e,f=b+c+d+e,=Q*f,
NO.0,,Demolition and Modification,,,,,,,,,,,,,,,,,,,,,,
4.5,Painting,"Int Wall : 
1. 12mm thk. cement plaster  in cm 1:3
2. Acrylic copolymer base washable emulsion paint system on plastered surfaces.",M2,5760,450,3130,2180,,,,,2,11520,64.605,372124.8,34.901,201029.76,9.84211764705882,56690.5976470588,1.61029411764706,9275.29411764706,110.958411764706,639120.451764706,
4.6,Painting,"Int Wall : 
1. 12mm thk. cement plaster  in cm 1:3
2. Chemical resistant epoxy paint system on plastered surfaces.",M2,310,,180,130,,,,,2,620,64.605,20027.55,50.426,15632.06,9.84211764705882,3051.05647058823,1.61029411764706,499.191176470589,126.483411764706,39209.8576470588,
4.7,Painting,"Int Wall : 
1. 12mm thk. cement plaster  in cm 1:3
2. Plastic acrylic copolymer base washable emulsion paint system on plastered surfaces.",M2,1250,,830,420,,,,,2,2500,64.605,80756.25,24.882,31102.5,9.84211764705882,12302.6470588235,1.61029411764706,2012.86764705883,100.939411764706,126174.264705882,
NO.5,,Ceiling,,,,,,,,,,,,,,,,,,,,,,
5.1,Ceiling,"70mm thick foil backed XPS insulation board over 1 coat of cold applied bituminous layer,",M2,1300,,1300,,,,,,1.5,1950,48.45375,62989.875,80.635,104825.5,10.1593455882353,13207.1492647059,2.41544117647059,3140.07352941177,141.663536764706,184162.597794118,
5.2,Ceiling,600mmx600mm acoustic lay-in ceiling tile(H=3000mm from FFL),M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
5.3,Ceiling,600mmx600mm acoustic lay-in water/moisture resistant ceiling tile(H=3000mm from FFL),M2,0,,0,,,,,,,0,,0,,0,,0,,0,,0,
5.4,Ceiling,Above ground concrete coating system for concrete surfaces,M2,550,,550,,,,,,1,550,32.3025,17766.375,40.25,22137.5,3.71333823529412,2042.33602941177,1.07352941176471,590.441176470591,77.3393676470588,42536.6522058824,
5.5,Ceiling,"Acoustic Suspended ceiling of aluminium panels 0.7 mm thick, pre-finished, powder coated, including 50mm thick rock wool insulation and acoustic pads above ",M2,857,52,275,530,,,,,2,1714,64.605,55366.485,163.5,140119.5,12.7406470588235,10918.7345294117,1.61029411764706,1380.02205882353,242.455941176471,207784.741588235,
5.6,Ceiling,Acrylic copolymer base washable emulsion paint system on  fair faced smooth finished concrete or plastered surfaces,M2,2010,,1800,210,,,,,2,4020,64.605,129856.05,23,46230,9.84211764705882,19782.6564705882,1.61029411764706,3236.69117647059,99.0574117647059,199105.397647059,
5.7,Ceiling,Chemical Resistant Epoxy paint system on fair faced smooth finished concrete or plastered surfaces,M2,170,,125,45,,,,,2,340,64.605,10982.85,40.25,6842.5,9.84211764705882,1673.16,1.61029411764706,273.75,116.307411764706,19772.26,
5.8,Ceiling,"Decorative Suspended ceiling of aluminium panels 0.7 mm thick, pre-finished, powder coated, including 50mm thick rock wool insulation and acoustic pads above",M2,236,56,,180,,,,,2,472,64.605,15246.78,180,42480,12.7406470588235,3006.79270588235,1.61029411764706,380.029411764706,258.955941176471,61113.6021176471,
5.9,Ceiling,concrete protective coating system for concrete surface above ceiling,M2,1248.8,118.8,330,800,,,,,1.2,1498.56,38.763,48407.2344,34.5,43083.6,7.25791764705882,9063.68755764705,1.07352941176471,1340.62352941177,81.5944470588235,101895.145487059,
5.10,Ceiling,Painted on exposed concrete(one coat of primer and two coats of plastic emulsion interior paint,M2,0,,0,,,,,,,0,,0,,0,,0,,0,,0,
NO.6,,Roof,,,,,,,,,,,,,,,,,,,,,,
6.1,Roof,"(1) Top surface coated with approved coating system(sri≥78）
(2) 70mm thk. mesh reinforced concrete panel a142 wire mesh 
(3) geotextile separation layer(density 140g/㎡)
(4) 75 thick polysterene insulation board
(5) geotextile separation layer(density 140g/㎡)
(6)1 layer of 4mm thick water proofing membrane reinforced with a core of non-woven polyester fabric weighing 180g/m³ minimum,torch applied for entire area 
(7)light aggregate concrete screed to 
1%slope, minimum 50mm thick",M2,3387,120,2200,1067,,,,,3.825,12955.275,123.5570625,418487.7706875,239.19,810136.53,17.69383125,59929.00644375,11.40625,38632.96875,391.84714375,1327186.27588125,
6.2,Roof,CONCRETE PAVER BLOCK(HVAC UNITS ACCESS WALKWAY),M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
6.3,Roof,prepainted profiled metal sheet,M2,390,,390,,,,,,1.8,702,58.1445,22676.355,138.2,53898,9.19606764705883,3586.46638235294,4.83088235294118,1884.04411764706,210.37145,82044.8655,
6.4,Roof,single skin aluminium sheeting (0.9mm thk.),M2,1,,1,,,,,,1.5,1.5,48.45375,48.45375,112,112,8.22699264705883,8.22699264705883,4.83088235294118,4.83088235294118,173.511625,173.511625,
6.5,Roof,"terrace water proofing:
(1) primer
(2) 4 mm thk. membrane
(3) 75 mm thk. rigid polystyrene thermal insulation board
(4) geotextile membrane
(5) 35mm thk. gravel of 20mm size",M2,0,,,,,,,,,0,,0,,0,,0,,0,,0,
6.6,Roof,"terrace water proofing:
(1) screed to slope with wwf mesh
(2) 3 mm bituminous sheet
(3) 75 mm thk. rigid polystyrene thermal insulation
(4) vapour barrier
(5) 35mm thk. gravel of 12mm to 15mm average size",M2,0,,0,,,,,,,0,,0,,0,,0,,0,,0,
NO.7,,Door,,,,,,,,,,,,,,,,,,,,,,
7.1,"Door
Supply by Wison,,INSPECTION AND INSTALLATAION BY SUBCONTRACTOR","SD1: 1050mm (W)  x 2200mm (H)
Steel single leaf door 
Fire rated 1.0H
with 1H fire rated vision panel, panic bar and master key",SET,2,,2,,,,,,11.55,23.1,373.093875,746.18775,0,0,87.5264095588235,175.052819117647,0,0,460.620284558824,921.240569117647,
