1005312 - Ruwais Sulphur Handling Terminal-1 Upgrade for Hail & Ghasha ,,,,,,,,,
  Exhibit 'C' Index,,,,,,,,,
,,,,,,,,,
Sr. No.,Unit,Discipline,Drawing Category,Document Number,Revision,Subject,Issue Status,Remarks,
,,,,,,COMMON,,,
,,,,,,ARCHITECTURAL/CIVIL/STRUTURAL,,,
93,00,ELECTRICAL,Drawing,5312-00-A1-6064,0,ELECTRICAL DEMOLITION LAYOUT SHIPLOADER BERTH 1 MCC 4 ELECTRICAL ROOM,IFT,WORLEY,1005312-WOR-AGP-TR-1591
94,00,ELECTRICAL,Drawing,5312-00-A3-6000,0,ELECTRICAL STANDARD INSTALLATION DRAWING FOR POWER,IFT,WORLEY,1005312-WOR-AGP-TR-0196
95,00,ELECTRICAL,Drawing,5312-00-A3-6002,0,ELECTRICAL STANDARD INSTALLATION DRAWING FOR LIGHTING,IFT,WORLEY,1005312-WOR-AGP-TR-0196
96,00,ELECTRICAL,Drawing,5312-00-A3-6003,0,ELECTRICAL STANDARD INSTALLATION DRAWING FOR EARTHING,IFT,WORLEY,1005312-WOR-AGP-TR-0196
97,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6011,1,MAIN DISTRIBUTION BOARD (30-PDB-5001) SINGLE LINE DIAGRAM - SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-1744
98,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6012,0,NORMAL LIGHTING DISTRIBUTION BOARD (30-LP-5001) SINGLE LINE DIAGRAM - SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-1148
99,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6013,0,EMERGENCY LIGHTING DISTRIBUTION BOARD (30-ELP-5001) SINGLE LINE DIAGRAM - SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-1148
100,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6014,0,SMALL POWER DISTRIBUTION BOARD (30-COP-5001) SINGLE LINE DIAGRAM - SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-1148
101,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6029,0,SINGLE LINE DIAGRAM - 110V DC UPS SUBSTATION-1,IFT,WORLEY,1005312-WOR-AGP-TR-1401
102,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6030,0,SINGLE LINE DIAGRAM 240V AC UPS (30 MINUTES AND 8 HOURS) SUBSTATION-3,IFT,WORLEY,1005312-WOR-AGP-TR-1763
103,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6031,0,SINGLE LINE DIAGRAM 240V AC UPS (30 MINUTES AND 8 HOURS) SUBSTATION-4,IFT,WORLEY,1005312-WOR-AGP-TR-1763
104,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6032,0,SINGLE LINE DIAGRAM 110V DC UPS SUBSTATION-3,IFT,WORLEY,1005312-WOR-AGP-TR-1237
105,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6033,0,SINGLE LINE DIAGRAM - 240V AC UPS (8 HOURS BACKUP) OPERATIONS BUILDING,IFT,WORLEY,1005312-WOR-AGP-TR-1756
106,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6034,1,SINGLE LINE DIAGRAM 110V DC UPS SUBSTATION-4,IFT,WORLEY,1005312-WOR-AGP-TR-1237
107,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6039,0,SINGLE LINE DIAGRAM - LIGHTING DISTRIBUTION BOARD ELDB-7 SUBSTATION-1 (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
108,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6040,0,SINGLE LINE DIAGRAM - LIGHTING DISTRIBUTION BOARD ELDB-2 SUBSTATION-1 (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
109,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6041,0,SINGLE LINE DIAGRAM - LIGHTING DISTRIBUTION BOARD 101-Z1-CC3 BERTH-1 (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
110,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6042,0,SINGLE LINE DIAGRAM - LIGHTING DISTRIBUTION BOARD ELDB-3 BERTH-1 (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
111,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6043,0,SINGLE LINE DIAGRAM - LIGHTING DISTRIBUTION BOARD ELDB-5 & ELDB-6 BERTH-1 (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
112,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6044,0,SINGLE LINE DIAGRAM LIGHTING DISTRIBUTION BOARD 5210-LP-01 & 5210-LP-02 (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
113,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6045,0,SINGLE LINE DIAGRAM SMALL POWER DISTRIBUTION BOARD 5210-CRP-01 & 5210-CRP-1002A/B (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
114,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6046,0,SINGLE LINE DIAGRAM LIGHTING DISTRIBUTION BOARD 5210-LP-1002A & 5210-LP-1002B (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
115,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6047,0,SINGLE LINE DIAGRAM MOV DISTRIBUTION BOARD 5240-MVP-01 (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
116,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6048,0,SINGLE LINE DIAGRAM SMALL POWER DISTRIBUTION BOARD 5240-CRP-02 (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
117,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6054,0,SINGLE LINE DIAGRAM - LIGHTING DISTRIBUTION BOARD 40-LP-01/02/05 (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
118,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6055,0,SINGLE LINE DIAGRAM - DISTRIBUTION BOARD 40-LP-03 (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
119,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6056,0,SINGLE LINE DIAGRAM - DISTRIBUTION BOARD 40-LP-04 (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
120,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6057,0,SINGLE LINE DIAGRAM - DISTRIBUTION BOARD 40-LP-06 (ALEM SCOPE),IFT,WORLEY,1005312-WOR-AGP-TR-0841
121,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6058,0,POWER DISTRIBUTION BOARD (30-COP-5004) SINGLE LINE DIAGRAM - OPERATOR SHELTER,IFT,WORLEY,1005312-WOR-AGP-TR-1148
122,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6072,0,SINGLE LINE DIAGRAM - AC UPS DISTRIBUTION BOARD (30-UPSDB-0001) SUBSTATION-1,IFT,WORLEY,1005312-WOR-AGP-TR-1704
123,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6078,0,MAIN DISTRIBUTION BOARD (5230-PDB-0005) SINGLE LINE DIAGRAM - SUBSTATION-4,IFT,WORLEY,1005312-WOR-AGP-TR-1558
124,00,ELECTRICAL,Single Line Diagrams,5312-00-A3-6082,0,MAIN DISTRIBUTION BOARD (5230-MLFB-0005) SINGLE LINE DIAGRAM - SUBSTATION-4,IFT,WORLEY,1005312-WOR-AGP-TR-1558
,,,,,,HVAC,,,
125,00,HVAC,Drawing,5312-00-A1-4601,0,HVAC AIR FLOW SCHEMATIC FOR SUBSTATION-5,IFT,WORLEY,1005312-WOR-AGP-TR-0989
126,00,HVAC,Drawing,5312-00-A1-4602,1,HVAC AIR FLOW SCHEMATIC FOR OPERATION BUILDING,IFT,WORLEY,1005312-WOR-AGP-TR-1717
127,00,HVAC,Drawing,5312-00-A1-4603,1,HVAC AIR FLOW SCHEMATIC FOR OPERATOR SHELTER,IFT,WORLEY,1005312-WOR-AGP-TR-1069
128,00,HVAC,Drawing,5312-00-A1-4604,0,CHILLED WATER SCHEMATIC SUB STATION-5 BUILDING (SS-5),IFT,WORLEY,1005312-WOR-AGP-TR-0951
129,00,HVAC,Drawing,5312-00-A1-4605,1,CHILLED WATER SCHEMATIC - OPERATION BUILDING,IFT,WORLEY,1005312-WOR-AGP-TR-1670
130,00,HVAC,Drawing,5312-00-A1-4651,0,SUBSTATION-5 HVAC LAYOUT,IFT,WORLEY,1005312-WOR-AGP-TR-0989
131,00,HVAC,Drawing,5312-00-A1-4652,0,SUBSTATION-5 HVAC LAYOUT SECTION,IFT,WORLEY,1005312-WOR-AGP-TR-0989
132,00,HVAC,Drawing,5312-00-A1-4653,0,OPERATIONS BUILDING - HVAC LAYOUT,IFT,WORLEY,1005312-WOR-AGP-TR-1721
133,00,HVAC,Drawing,5312-00-A1-4654,0,OPERATIONS BUILDING - HVAC ROOF PLAN & SECTION,IFT,WORLEY,1005312-WOR-AGP-TR-1721
134,00,HVAC,Drawing,5312-00-A1-4655,1,OPERATOR SHELTER HVAC LAYOUT,IFT,WORLEY,1005312-WOR-AGP-TR-1069
135,00,HVAC,Drawing,5312-00-A1-4656,1,OPERATOR SHELTER HVAC SECTION,IFT,WORLEY,1005312-WOR-AGP-TR-1069
136,00,HVAC,Drawing,5312-00-A1-4657,0,CHILLED WATER PIPEWORK LAYOUT - SUBSTATION BUILDING (SS-5),IFT,WORLEY,1005312-WOR-AGP-TR-0951
137,00,HVAC,Drawing,5312-00-A1-4658,1,CHILLED WATER PIPEWORK LAYOUT - OPERATION BUILDING,IFT,WORLEY,1005312-WOR-AGP-TR-1670
138,00,HVAC,Drawing,5312-00-A3-4607,2,HVAC LEGENDS & SYMBOLS,IFT,WORLEY,1005312-WOR-AGP-TR-1717
,,,,,,INSTRUMENTATION & CONTROL,,,
