1005312 - Ruwais Sulphur Handling Terminal-1 Upgrade for Hail & Ghasha ,,,,,,,,,
EXHIBIT C  - INDEX,,,,,,,,,
Sr. No.,Unit,Discipline,Document Category,Document Number,Revision,Subject,Issue Status,Remarks,
88,00,GEOTECHNICAL,Report,RP-5312-00-CI-015,1,"TECHNICAL METHOD STATEMENT - BATHYMETRIC AND ONSHORE, OFFSHORE GEOTECHNICAL INVESTIGATION  ",IFT,,
89,00,GEOTECHNICAL,Report,RP-5312-00-CI-017,1,"TASK RISK ASSESSMENT - BATHYMETRIC AND ONSHORE, OFFSHORE GEOTECHNICAL INVESTIGATION ",IFT,,
90,00,GEOTECHNICAL,Scope of Works,SP-5312-00-CI-001,1,BATHYMETRY AND GEOTECHNICAL INVESTIGATION SCOPE OF WORK AND SPECIFICATIONS,IFT,,
,,,,,,HVAC,,,
91,00,HVAC,Specification,5312-ADD-3400-002,0,ADDENDUM TO DGS-3400-002 DESIGN GENERAL SPECIFICATION HVAC EQUIPMENT,IFT,,
92,00,HVAC,Specification,5312-ADD-3400-003,0,ADDENDUM TO DGS-3400-003 DESIGN GENERAL SPECIFICATION DUCTWORK AND DUCTWORK INSULATION,IFT,,
93,00,HVAC,Specification,5312-ADD-3400-004,0,ADDENDUM TO DGS-3400-004 DESIGN GENERAL SPECIFICATION HVAC CONTROL,IFT,,
94,00,HVAC,Calculation,CA-5312-00-ME-001,1,HVAC HEAT LOAD CALCULATION (SS #5),IFT,,
95,00,HVAC,Calculation,CA-5312-00-ME-002,1,HVAC HEAT LOAD CALCULATION (OPERATIONS BUILDING),IFT,,
96,00,HVAC,Calculation,CA-5312-00-ME-003,1,HVAC HEAT LOAD CALCULATION (OPERATOR SHELTER),IFT,,
97,00,HVAC,Design Basis,DB-5312-00-ME-003,0,HVAC DESIGN BASIS,IFT,,
98,00,HVAC,Philosophy Documents,DI-5312-00-ME-001,0,HVAC CONTROL DESIGN PHILOSOPHY AND SEQUENCE OF OPERATION,IFT,,
99,00,HVAC,Data Sheet,DS-5312-00-X-0001,0,HVAC EQUIPMENT DATA SHEETS (SUBSTATION #5),IFT,,
100,00,HVAC,Data Sheet,DS-5312-00-X-0002,0,HVAC EQUIPMENT DATA SHEETS (OPERATIONS BUILDING),IFT,,
101,00,HVAC,Data Sheet,DS-5312-00-X-0003,1,HVAC EQUIPMENT DATA SHEETS (OPERATOR SHELTER),IFT,,
102,00,HVAC,Lists & Schedules,RP-5312-00-ME-003,1,HVAC EQUIPMENT SCHEDULE (OPERATOR SHELTER),IFT,,
103,00,HVAC,Report,RP-5312-00-ME-004,0,ADEQUACY REPORT FOR HVAC SYSTEM OF EXISTING SUBSTATIONS,IFT,,
104,00,HVAC,Lists & Schedules,RP-5312-00-ME-006,0,HVAC EQUIPMENT SCHEDULE (OPERATIONS BUILDING),IFT,,
105,00,HVAC,Lists & Schedules,RP-5312-00-ME-007,0,HVAC EQUIPMENT SCHEDULE (SUBSTATION #5),IFT,,
,,,,,,INSTRUMENTATION & CONTROL,,,
106,00,INSTRUMENTATION,Specification,5312-ADD-1511-031,0,FIRE & GAS DETECTORS ADDENDUM TO DGS ,IFT,,
107,00,INSTRUMENTATION,Specification,5312-ADD-1511-033,0,INSTRUMENTATION FURNISHED WITH PACKAGE UNITS ADDENDUM TO DGS,IFT,,
108,00,INSTRUMENTATION,Specification,5312-ADD-SP-04-001,0,PROCESS CONTROL SPECIFICATION ADDENDUM TO AGES,IFT,,
109,00,INSTRUMENTATION,Specification,5312-ADD-SP-04-002,0,CONTROL VALVES SPECIFICATION ADDENDUM TO AGES,IFT,,
110,00,INSTRUMENTATION,Specification,5312-ADD-SP-04-003,0,FIRE & GAS SYSTEM SPECIFICATIONS ADDENDUM TO AGES,IFT,,
111,00,INSTRUMENTATION,Specification,5312-ADD-SP-04-004,0,EMERGENCY SHUTDOWN (SIS) SYSTEM SPECIFICATION ADDENDUM TO AGES ,IFT,,
