AREA,UNIT,DISC,DOCUMENT NUMBER,REV,TITLE,STATUS,ORIGINATOR,TYPE
COMMON,001,ME,0401413-ADD-2123-001,0,"ADDENDUM TO DESIGN GENERAL SPECIFICATION FOR OVERHEAD TRAVELLING CRANES, HOISTS",IFD,WORLEY,DOCUMENT
COMMON,001,ME,0401413-ADD-3335-001,0,"ADDENDUM TO DESIGN GENERAL SPECIFICATION FOR LUBRICATION, SHAFT SEALING AND CONTROL OIL SYSTEM FOR SPECIAL PURPOSE APPLICATIONS",IFD,WORLEY,DOCUMENT
COMMON,001,ME,0401413-ADD-3400-002,0,ADDENDUM TO DGS-3400-002 DESIGN GENERAL SPECIFICATION - HVAC EQUIPMENT,IFD,WORLEY,DOCUMENT
COMMON,001,ME,0401413-ADD-3400-003,0,ADDENDUM TO DGS-3400-003 DESIGN GENERAL SPECIFICATION - DUCTWORK AND DUCTWORK INSULATION,IFD,WORLEY,DOCUMENT
COMMON,001,ME,DOD-0401413-GG-001-00-11-002,0,MECHANICAL DESIGN BASIS,IFD,WORLEY,DOCUMENT
COMMON,001,ME,DOD-0401413-GG-001-34-00-001,0,HVAC DESIGN CRITERIA,IFD,WORLEY,DOCUMENT
COMMON,001,ME,R-0401413-GG-001-07-55-051,0,MATERIAL REQUISITION FOR AIR-COOLERS FOR HABSHAN-4 AND HABSHAN-5,IFT,WORLEY,DOCUMENT
COMMON,001,ME,R-0401413-GG-001-10-55-001,0,MATERIAL REQUISITION FOR CO2 COMPRESSOR PACKAGES,IFT,WORLEY,DOCUMENT
COMMON,001,ME,R-0401413-GG-001-33-80-001,0,MATERIAL REQUISITION FOR TEG DEHYDRATION PACKAGE AT HABSHAN 4 & HABSHAN 5,IFT,WORLEY,DOCUMENT
COMMON,001,ME,RPT-0401413-GG-001-33-80-001,B,TECHNICAL BID EVALUATION FOR TEG DEHYDRATION PACKAGE AT HABSHAN 4 & HABSHAN 5,IFA,WORLEY,DOCUMENT
COMMON,001,ME,SP-0401413-GG-001-33-80-001,0,SPECIFICATION FOR TEG DEHYDRATION PACKAGE AT HABSHAN 4 & HABSHAN 5,IFT,WORLEY,DOCUMENT
COMMON,001,ML,PHL-0401413-GG-001-63-00-002,0,CORROSION RISK ASSESSMENT STUDY (CRAS) & MATERIALS & CORROSION AUDIT (MCA) METHODOLOGY,IFD,WORLEY,DOCUMENT
COMMON,001,ML,PHL-0401413-GG-001-63-00-003,0,DUCTILE FRACTURE PROPAGATION STUDY AND FRACTURE CONTROL PLAN METHOD STATEMENT,IFD,WORLEY,DOCUMENT
COMMON,001,ML,RPT-0401413-GG-001-63-00-002,B,CORROSION RISK ASSESSMENT STUDY (CRAS) & MATERIALS & CORROSION AUDIT (MCA) REPORT,IFA,WORLEY,DOCUMENT
COMMON,001,ML,RPT-0401413-GG-001-63-22-003,0,MATERIAL SELECTION REPORT AND SUMMARY TABLES,IFD,WORLEY,DOCUMENT
COMMON,001,ML,RPT-0401413-GG-001-63-22-004,2,TECHNICAL BIDS EVALUATION SUMMARY FOR CRAS AND MCA,IFT,WORLEY,DOCUMENT
COMMON,001,ML,RPT-0401413-GG-001-63-22-005,0,TECHNICAL BIDS EVALUATION SUMMARY FOR CO2 PIPELINE DUCTILE FRACTURE PROPAGATION STUDY AND CONTROL PLAN,IFA,WORLEY,DOCUMENT
COMMON,001,ML,RPT-0401413-GG-001-63-33-001,A,CATHODIC PROTECTION SYSTEM DESIGN - FEED,ICR,WORLEY,DOCUMENT
COMMON,001,ML,RPT-0401413-GG-001-63-33-006,0,CATHODIC PROTECTION SYSTEM PRE-DESIGN SITE SURVEY REPORT,IFD,WORLEY,DOCUMENT
COMMON,001,ML,RPT-0401413-GG-001-95-80-004,0,PIPELINE FRACTURE PROPAGATION STUDY AND FRACTURE CONTROL PLAN,IFD,WORLEY,DOCUMENT
COMMON,001,ML,SOW-0401413-GG-001-63-11-003,0,SCOPE OF WORK FOR CO2 PIPELINE FRACTURE PROPAGATION CONTROL STUDY,IFT,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-1300-010,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - PIPING SYSTEMS (PIPING CLASSES),IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-1300-015,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - PIPES AND PIPING COMPONENTS,IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-1300-030,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - PROCESS AND UTILITY FIELD/SHOP PRESSURE TESTING,IFD,WORLEY,DOCUMENT
COMMON,001,PI,0401413-ADD-1300-040 ,0,"ADDENDUM TO DESIGN GENERAL SPECIFICATION - GENERAL PIPING - PROCESS AND UTILITY DESIGN, LAYOUT & DRAWING ",IFD,WORLEY,DOCUMENT
