SL. No,"Item No
(As per Bidder)",Discipline,EPC Package Identification,Enquiry Package Reference,Reference Document / Drawing,"Classification (Legal, Technical &/or Commercial)",Exception / Query,Company's Response ,TENDER BULLETIN NO.
184,1,,,,RSHT2 - Presentation to Bidders 1,Technical,"As per the ITB, the Fire Water (FW) demand calculation does not account for the requirement of spray nozzles with a minimum orifice diameter of 8 mm while estimating the governing scenario for FW demand. Validation of FW demand is based on the Company’s response to Bidder Query 21 in TB-20, which states: “Bidder shall follow FEED Philosophy for FW demand report, and any proposed change shall be discussed and agreed upon during the execution phase.” Accordingly, a maximum conveyor length of 466 m was considered for FW demand calculations during the re-bidding stage of Offer P-4450. Please confirm if this approach is acceptable or if any additional requirements need to be considered. ","Bidder shall provide the schematic (with length) to align COMPANY for their understanding and respond accordingly 
Bidder shall continue with their assumptions in order to proceed and secure their quotation 
",TB-R020
185,2,,,,RSHT2 - Presentation to Bidders 1,Technical,"A conveyor belt width of 1 m has been considered for the Fire Water Demand calculation to validate the FW demand during the first bidding phase of Offer 4450 and has also been retained for the re-bidding phase. Any changes to the conveyor belt width would affect the FW demand, deluge valve size, and piping dimensions. Please confirm if this assumption aligns with the project requirements or if a revised conveyor belt width is expected.","Bidder shall provide the basis where they get that assumption (Revised conveyor belt width) is expected.
Bidder shall continue with their assumptions in order to proceed and secure their quotation ",TB-R020
186,3,,,,RSHT2 - Presentation to Bidders 1,Technical,"During the re-bidding stage of Offer 4450, information on the existing Fire Water (FW) line sizes and drawings for RSHT2 was unavailable. Consequently, four FW tie-ins for the proposed greenfield facility were considered, assuming adequate FW line sizes, pressure, flow and selecting the most suitable locations within the existing RSHT2 network. Please confirm if this assumption is acceptable or if additional data regarding existing FW lines can be provided for verification.",RSHT 2 FW Details provided part of this query reposne  TCM-009 (Firewater folder),TB-R020
187,4,,,,RSHT2 - Presentation to Bidders 1,Technical,No modifications to the existing Fire Water Pump House or Fire Water Tank have been considered during the re-bidding phase of Offer 4450. Please confirm if this assumption is valid or if any modifications to the existing infrastructure are anticipated.,RSHT 2 FW Details provided part of this query reposne TCM-009 (Firewater folder),TB-R020
188,5,,,,RSHT2 - Presentation to Bidders 1,Technical,The clean agent type ‘IG541 – Inergen’ has been assumed for the re-bidding phase based on the details provided during RSHT-1 (brownfield). Please confirm if this clean agent type is acceptable or if a different specification is required for the re-bidding phase.,IG-541 is Acceptable ,TB-R020
189,6,,,,RSHT2 - Presentation to Bidders 1,Technical,It has been assumed that Safety Shower and Eye Wash units are available at the existing Transfer Towers within the RSHT2 facility in areas where interfaces exist between the proposed facility and the existing Transfer Towers. Please confirm if this assumption is accurate or if additional units need to be considered for the proposed scope.,"Bidder understanding is correct. 
However bidder to review the same based on as-built drawings provided for understanding of interface & requirements.",TB-R020
190,7,,,,"TB-R014, Attachment to TB-R014, Sr. no#2",Technical,"Bidder refers to below reply from COMPANY

1) Bidder's understanding is not correct. The facility will be operated from the main control building, therefore the required number of operator, engineering and application stations, servers and printers shall be provided in the existing MCR in RSHT-2. Additionally, there shall be operator and engineering workstations in the IER room of the new substation. Storage buildings E-Rooms shall be equipped with operator/application workstations. 

2) Please consider virtualization as it is a mandatory requirement

With reference to above response, Bidder clarifies as below

1) Bidder has considered only supply of operator, engineering and application stations, servers and printers. The required space, UPS power & feeders, HVAC adequacy etc.is assumed to be available in existing Main Control Building (MCR).

2) Noted for the new system being supplied by Bidder. No upgrade / modification in existing system is considered.","1. Adequacy of the existing MCR (Main Control Building) shall be in bidder's scope. A new control building shall be considered as optional scope.
2. Bidder's understanding is correct.",TB-R020
191,8,,,,"TB-R014, Attachment to TB-R014, Sr. no#3",Technical,"Bidder refers to below reply from COMPANY

Bidder's understanding is not correct. TB-14 has no mention of 'PLC'. Package controls for the Stacker/Reclaimer shall reside in the DCS (ICSS) and hardware/software to be included in the vendor's scope of supply. EPC scope will be the integration of the package controls with the ICSS. The same applies for the Ship Loader.

With reference to above response, Bidder clarifies as below

As per the RSHT-2 existing system architecture provided by COMPANY, Stacker / Reclaimer and Ship Loader Control is implemented in PLC ML200. Hence bidder has considered Package PLC from better execution perspective. Package PLC Control is Bidder's basis for estimation. ","Bidder's understanding is correct. Bidder to follow the RSHT-2 system architecture for his estimation. However, Bidder to note that ML200 PLC is from the same OEM (Honeywell) as the ICSS and provides ease of integration. ",TB-R020
192,1,Contract,,,"General T&C
",,"Import through Abu Dhabi Seaports and Airports

Please confirm whether all CONTRACTOR CONSTRUCTION EQUIPMENT and MATERIALS imported through Abu Dhabi's seaports and airports are to be imported in the name of the COMPANY
Additionally, please confirm that any customs duties levied on such imports will be borne entirely by the COMPANY, and the CONTRACTOR will not be held liable for these duties.",Confirmed,TB-R023
193,2,Contract,,,"General T&C
",,"Import  through Other Ports
Please confirm that for CONTRACTOR CONSTRUCTION EQUIPMENT and MATERIALS imported through ports outside of Abu Dhabi, the CONTRACTOR will be responsible for all importation procedures ,in the name of CONTRACTOR
Confirm that any customs duties or related charges for such imports will be borne solely by the CONTRACTOR.

CONTRACTOR is responsible for the transportation of all CONTRACTOR CONSTRUCTION EQUIPMENT and MATERIALS to the designated locations, Aand the CONTRACTOR shall provide all necessary assistance and documentation required to facilitate the importation process.",Confirmed,TB-R023
194,3,Contract,,,"General T&C
",,"35.3 
(b) within thirty (30) DAYS of the CONTRACTOR’s receipt of a written notice from the COMPANY identifying one or more of the following breaches by the CONTRACTOR, provided that the CONTRACTOR has not remedied the relevant breach within such period:
(i) the CONTRACTOR’s suspension or delay of the performance of the WORKS in breach of Article ‎34 ;

Article 34 is suspension, which is not appliable to this Clause. Please clarify.",Company will advise.,TB-R023
195,4,Contract,,,EXHIBIT A.7,,Please provide the definiton of insurance spare parts.,Bidders shall refer to Exhibit B.46 for SPARE PARTS & EQUIPMENT DATA CAPTURING PROCEDURE . The definition of Insurance Spare Parts is as follows per Exhibit B.46 provided in RFT package.,TB-R023
196,1,General,,,General,,"Please Company to provide 
DGS-1300-175 Galvanization
DGS-6600-010 Painting","DGS-6600-010 is superceded by AGES-SP-07-004
DGS-1300-175 is superceded by AGES-SP-07-009
The AGES are already provided to the Bidders",TB-R025
197,2,General,,,General,,"Please  Company to provide the architecture drawing and IO list of IPCS of existing plants, as agreed in the Technical Bids clarification meeting","ICSS & IPCS System:
The existing RSHT-2 overall architecture & I/O list for ICSS & IPCS system are attached as part of the clarification for reference.

As informed to the Bidder that,the necessary documents related to existing Borouge facility are not available and it will be provided post-award to successful Bidder.",TB-R025
