SL. No,"Item No
(As per Bidder)",Discipline,EPC Package Identification,Enquiry Package Reference,Reference Document / Drawing,"Classification (Legal, Technical &/or Commercial)",Exception / Query,Company's Response ,TENDER BULLETIN NO.
39,18,Existing Utility Services ,,,,,"Company provide the Existing Utility Services details for fire water, utility Air, potable water and sulphur line such as die of the pipe and material, pressure etc. ",Company will revert,TB-R003
40,1,,,,Liquid Sulfur Unloading,,"CONTRACTOR is not considering receiving any liquid sulfur via truck. Consequently, any facility relevant to liquid sulfur truck unloading will not be foreseen. Please confirm.",Confirmed,TB-R003
41,2,,,,Process Design Criteria,,"The new tender requires the installation of 10 granulators (9 working + 1 standby). Assuming a nominal capacity of 1,100 t/d each, the overall installed capacity will be 11,000 t/d, while the normal capacity is 9,900 t/d. CONTRACTOR understands that the new plant will serve the H&G sulfur production, which is around 10,500 t/d (as stated in the document ""DB-5312-00-PR-001_0 Process Design Basis""). Please confirm the requirement for 10 granulators (9 working + 1 standby).","Confirmed
Maximum flow from H&G will be 9,900 TPD ",TB-R003
42,3,,,,Liquid Sulfur Tanks,,"CPY requires three (3) liquid sulfur tanks constructed in alignment with the design requirements outlined in RFT 6000066707. The document ""DB-5312-00-PR-001_0 Process Design Basis"" in RFT600006707 requires a storage capacity of 5 days. Assuming a production of 9,900 t/d, the overall liquid storage capacity will be 49,500 tons (net). This means three tanks of 16,500 t capacity each, which is 36% larger than the one required in RFT 6000066707 (16,500 tons vs. 12,141 tons). Please confirm this understanding.","Buidder understanding for storage tanks capacity calculations is correct
Howver, the 16,500 Ton is the capacity of new linear storage building",TB-R003
43,4,,,,Existing Stack and Reclaimer Units,,"CONTRACTOR requires details of the existing stack and reclaimer units, showing the position of the conveyors inside the existing linear storage. This information is needed to evaluate the net capacity of the existing linear storage and propose a similar configuration for the new linear storage.",Attached,TB-R003
44,5,,,,Voltage Level,,CONTRACTOR requires the voltage level available in the Borouge 3 facility to develop the new plant's electrical one-line diagram,Shall follow,TB-R003
45,1,HSE,,,Connection to Existing Fire Water System,,"In order to optimize costs, the Bidder requests confirmation from the Client regarding the possibility of connecting the fire water network of the new facility to the existing fire water network of the Gasco Sulphur Handling, located adjacent to the project site. If this connection is feasible, kindly provide details on the capacity of the existing fire water pumping station and storage tanks.","Existing FW System details are included in the attached CA-5312-T2-6000-SA-041_A (Section 6) FSRU Berth 5 at Terminal 2, however bidder shall consider new firezones with its respected demand scenarios. ",TB-R004
46,2,HSE,,,HSEIA Development for Sulphur Handling Project - Greenfield Configuration,,"Given that the FEED HSEIA developed for the brownfield configuration is no longer applicable to this initiative, the Bidder's understanding is that a new FEED’s HSEIA for the sulphur handling project's greenfield configuration will not be developed, as the Client has already received approval for this initiative. Therefore, the HSEIA for the detailed engineering phase will be developed in accordance with HSE-RM-ST02.","CONFIRMED, Green Field HSEIA shall be executed during EPS Engineering Phase for the new alocated area",TB-R004
47,1,,,,"TB003, Attachment 4, Item3 -  Liquid Sulphur tank.",,"Refer, TB003, Item 3 Liquid Sulphur tank, Company response that 16,500 tons is the capacity of new linear storage building.

Please clarify the capacity of new storage building is 165,000 tons, we assume that 16,500 is typing error.","New linear storage building capacity will be 165,000 Ton ",TB-R005
48,2,Instrumentation,,,"Tender Bulletin Number TB-R003
S.No. 1
S.No. 2",,"As the new control system will interface with the RSHT2 control and safeguard systems, Bidder requests Company to provide the following details of existing systems:
1) OEM of existing RSHT2 Control and safeguard systems
2) Building Location of existing RSHT2 Control and safeguard systems
3) All relevant drawings such as GA Drawing, System Architecture, etc.

The above-mentioned details are essential at the bidding stage to assess the required modification and to form the basis of our proposal as well as to submit a comprehensive proposal from OEM.",Bidder are encouraged to conduct site visit for data collection,TB-R005
